"Plotname","easting","northing","richness","altitude","TCI"
"SP220",207.2035,3184.9886,11,0.3399,1.14
"SP221",207.0035,3185.0886,10,0.2613,1.16
"SP222",206.6035,3184.9886,12,0.1343,1.47
"SP223",206.6035,3184.5886,11,0.0014,1.42
"SP224",206.6035,3184.4886,9,0.0036,1.49
"SP225",207.6035,3184.5886,17,0.3348,1.26
"SP226",207.5035,3184.5886,14,0.3169,1.12
"SP227",208.2035,3183.8886,22,0.342,1.33
"SP228",208.2035,3183.9886,23,0.3837,1.34
"SP229",208.1035,3183.6886,17,0.3469,1.42
"SP230",207.6035,3184.1886,9,0.3169,1.03
"SP231",207.9035,3186.8886,18,0.4735,1.02
"SP232",209.0035,3187.4886,6,0.5882,1.01
"SP233",228.5035,3174.9886,15,0.3558,1.34
"SP234",228.7035,3174.8886,15,0.3461,1.3
"SP235",228.9035,3174.8886,13,0.3077,1.59
"SP236",228.4035,3175.0886,16,0.3654,1.13
"SP237",229.3035,3176.0886,14,0.0831,1.08
"SP238",229.4035,3174.0886,21,0.0466,1.14
"SP239",229.5035,3173.5886,14,0.0661,1.05
"SP240",229.9035,3173.0886,11,0.0753,1.09
"SP241",230.1035,3172.4886,19,0.0415,1.06
"SP242",230.0035,3172.7886,9,0.0554,1.16
"SP243",230.2035,3171.6886,8,0.0893,1.14
"SP244",228.4035,3173.7886,7,0.2436,1.06
"SP245",228.4035,3174.4886,9,0.296,1.03
"SP246",227.2035,3173.2886,11,0.3833,1.07
"SP247",228.0035,3170.6886,18,0.5276,1.16
"SP248",228.0035,3170.4886,10,0.5375,1.19
"SP249",228.0035,3169.0886,15,0.4851,1.08
"SP250",228.5035,3170.7886,22,0.3703,1.02
"SP251",229.7035,3171.1886,12,0.1634,1.03
"SP252",229.9035,3170.7886,12,0.1303,1.01
"SP253",230.3035,3170.5886,11,0.0628,1.19
"SP254",218.1035,3164.8886,14,0.5273,1.04
"SP255",218.1035,3164.6886,10,0.5286,1.03
"SP256",218.1035,3164.3886,14,0.4988,1.07
"SP257",218.2035,3164.0886,15,0.4953,1.06
"SP258",218.0035,3163.5886,6,0.4502,1.04
"SP259",218.0035,3163.2886,7,0.4205,1.15
"SP260",217.6035,3163.0886,10,0.2189,1.68
"SP261",217.6035,3161.7886,11,0.0155,1.04
"SP262",214.7035,3166.3886,7,0.0068,1.07
"SP263",214.2035,3167.9886,5,6e-04,1.01
"SP264",216.9035,3167.2886,10,0.4322,1.02
"SP265",220.9035,3154.9886,13,0.5901,1.08
"SP266",220.1035,3155.8886,12,0.4034,1.1
"SP267",219.7035,3156.6886,14,0.3595,1.07
"SP269",219.6035,3157.0886,14,0.3563,1.1
"SP270",219.6035,3157.2886,16,0.3651,1.26
"SP271",219.3035,3156.9886,9,0.2507,1.06
"SP272",219.4035,3155.9886,8,0.1217,1.21
"SP273",219.0035,3156.9886,9,0.0999,1.15
"SP274",218.6035,3155.3886,2,0.0028,1.02
"SP275",219.6035,3152.8886,7,0.0151,1.02
"SP276",221.2035,3151.2886,6,0.0146,1.2
"SP277",221.8035,3151.2886,4,0.0343,1.02
"SP278",221.6035,3150.9886,5,8e-04,1
"SP279",222.4035,3151.5886,4,0.0321,1.01
"SP280",222.2035,3151.9886,3,0.0939,1.06
"SP281",222.4035,3152.5886,7,0.1681,1.02
"SP282",222.6035,3153.0886,8,0.234,1.05
"SP283",222.5035,3152.9886,10,0.2303,1.03
"SP284",223.0035,3154.8886,16,0.4203,1.07
"SP285",223.2035,3155.3886,18,0.4188,1.07
"SP286",223.4035,3155.6886,17,0.4349,1.1
"SP287",223.9035,3155.9886,18,0.3881,1.06
"SP288",224.0035,3156.1886,18,0.4309,1.07
"SP289",224.1035,3156.2886,12,0.4043,1.09
"SP290",224.2035,3156.4886,15,0.4244,1.15
"SP291",224.9035,3159.1886,22,0.6335,1.1
"SP292",224.8035,3158.9886,19,0.606,1.14
"SP293",224.7035,3158.7886,20,0.6249,1.07
"SP294",224.5035,3158.2886,15,0.6338,1.07
"SP295",224.5035,3158.1886,13,0.6301,1.06
"SP296",224.3035,3157.7886,19,0.6232,1.11
"SP297",224.1035,3157.1886,15,0.5981,1.1
"SP298",224.0035,3156.9886,17,0.6147,1.12
"SP299",223.7035,3156.5886,14,0.6059,1.08
"SP300",223.6035,3156.0886,18,0.5042,1.04
"SP301",224.3035,3156.5886,10,0.4266,1.17
"SP302",224.5035,3156.9886,15,0.4227,1.15
"SP303",224.7035,3157.0886,21,0.3955,1.19
"SP304",224.7035,3157.2886,20,0.4604,1.16
"SP305",224.9035,3157.5886,18,0.408,1.09
"SP306",225.0035,3157.8886,15,0.4222,1.07
"SP307",225.2035,3158.1886,17,0.4257,1.06
"SP308",225.3035,3158.4886,14,0.4136,1.08
"SP309",225.5035,3158.6886,14,0.3897,1.17
"SP310",225.5035,3158.9886,18,0.4417,1.08
"SP311",225.6035,3159.1886,19,0.4292,1.06
"SP312",225.5035,3159.5886,27,0.4574,1.14
"SP313",225.6035,3160.0886,24,0.4577,1.07
"SP314",225.7035,3159.9886,16,0.4069,1.15
"SP315",224.8035,3159.5886,16,0.6402,1.05
"SP316",220.9035,3176.9886,4,1.4147,1.16
"SP317",220.8035,3177.1886,4,1.5116,1.33
"SP318",220.7035,3177.2886,20,1.5155,1.52
"SP319",220.6035,3177.3886,23,1.5721,1.48
"SP320",220.4035,3177.2886,28,1.5552,1.64
"SP321",220.2035,3177.0886,4,1.5289,1.21
"SP322",219.5035,3176.9886,10,1.6074,1.43
"SP323",219.4035,3176.9886,25,1.6655,1.66
"SP324",219.2035,3177.1886,22,1.7844,1.64
"SP325",219.1035,3177.2886,20,1.817,1.8
"SP326",218.9035,3177.3886,14,1.8313,1.63
"SP327",218.8035,3177.3886,6,1.7166,1.84
"SP328",218.8035,3177.2886,16,1.6533,1.57
"SP329",219.7035,3176.8886,10,1.5075,1.27
"SP330",219.9035,3176.8886,4,1.5061,1.18
"SP331",220.1035,3176.6886,4,1.4052,1.11
"SP332",220.2035,3176.6886,4,1.3922,1.12
"SP333",220.5035,3176.6886,4,1.3795,1.17
"SP334",220.3035,3176.2886,4,1.2728,1.06
"SP335",220.6035,3176.2886,6,1.2675,1.07
"SP336",220.9035,3176.1886,2,1.2438,1.14
"SP337",221.0035,3176.0886,6,1.2023,1.1
"SP338",221.1035,3175.8886,5,1.1768,1.08
"SP339",221.0035,3175.6886,9,1.1306,1.2
"SP340",221.5035,3175.5886,10,1.0721,1.18
"SP341",221.5035,3175.2886,12,1.0031,1.12
"SP342",221.2035,3174.8886,6,0.9414,1.1
"SP343",220.9035,3178.0886,4,1.2293,1.22
"SP344",220.9035,3178.1886,6,1.2417,1.49
"SP345",221.0035,3178.1886,12,1.2684,1.43
"SP346",221.1035,3178.4886,15,1.1881,1.59
"SP347",221.2035,3178.6886,8,1.2501,1.62
"SP348",221.4035,3178.8886,20,1.285,1.47
"SP349",221.1035,3179.1886,4,1.1321,1.39
"SP350",221.3035,3179.4886,13,1.2301,1.4
"SP351",221.4035,3179.6886,8,1.2486,1.55
"SP352",221.6035,3179.6886,10,1.2706,1.46
"SP353",221.7035,3179.9886,11,1.265,1.53
"SP354",221.1035,3177.9886,4,1.2831,1.22
"SP355",221.2035,3178.0886,22,1.3794,1.65
"SP357",221.8035,3176.3886,7,1.0239,1.03
"SP358",221.9035,3176.3886,7,1.0301,1.04
"SP359",222.1035,3176.2886,6,1.0896,1.48
"SP360",222.3035,3176.2886,20,1.1291,1.37
"SP361",222.4035,3176.3886,30,1.1578,2.24
"SP362",222.5035,3176.4886,35,1.2637,2.72
"SP363",222.6035,3176.5886,33,1.3751,2.09
"SP364",221.5035,3168.6886,5,1.3728,1.05
"SP365",221.5035,3168.2886,5,1.4189,1.01
"SP366",221.5035,3167.8886,4,1.5953,1.09
"SP367",221.5035,3167.6886,9,1.5901,1.15
"SP368",221.7035,3167.2886,6,1.6094,1.17
"SP369",221.9035,3166.6886,4,1.6741,1.09
"SP370",222.0035,3166.5886,6,1.7051,1.02
"SP371",222.1035,3166.0886,7,1.7454,1.03
"SP372",222.3035,3165.6886,7,1.7773,1.09
"SP373",222.5035,3165.5886,6,1.8555,1.04
"SP374",222.4035,3165.2886,8,1.878,1.05
"SP375",222.5035,3164.7886,6,1.8786,1.16
"SP376",222.4035,3164.6886,9,1.8586,1.11
"SP377",222.2035,3164.3886,8,1.8004,1.08
"SP378",222.3035,3163.7886,3,1.8915,1.1
"SP379",222.3035,3163.4886,6,1.9201,1.16
"SP380",222.5035,3162.8886,3,1.8231,1.02
"SP381",222.5035,3162.6886,8,1.8407,1.15
"SP382",221.8035,3162.8886,3,1.6608,1.04
"SP383",221.6035,3163.0886,6,1.5751,1.12
"SP384",221.5035,3162.8886,3,1.5129,1.15
"SP385",221.5035,3163.1886,4,1.4998,1.18
"SP386",221.3035,3162.5886,3,1.4077,1.16
"SP387",221.2035,3163.1886,3,1.3852,1.11
"SP388",221.0035,3162.7886,6,1.3015,1.12
"SP389",220.8035,3162.4886,7,1.2112,1.08
"SP390",220.8035,3163.2886,6,1.2422,1.06
"SP391",220.5035,3164.2886,5,1.292,1.05
"SP392",220.5035,3164.8886,8,1.2902,1.12
"SP393",220.5035,3165.7886,9,1.2483,1.09
"SP394",220.4035,3166.6886,4,1.1913,1.14
"SP395",220.7035,3166.6886,7,1.2766,1.16
"SP396",220.9035,3167.6886,4,1.3256,1.14
"SP397",221.1035,3168.1886,7,1.3445,1.06
"SP398",221.3035,3168.7886,10,1.3304,1.03
"SP399",229.6035,3187.4886,29,0.1975,1.48
"SP400",229.9035,3187.6886,32,0.1476,1.5
"SP401",229.5035,3187.3886,31,0.247,1.38
"SP402",229.7035,3187.5886,18,0.1712,1.47
"SP403",225.7035,3192.1886,15,0.5887,1.1
"SP404",225.3035,3192.7886,10,0.4943,1.16
"SP405",225.3035,3192.8886,14,0.4606,1.17
"SP406",225.1035,3193.0886,14,0.391,1.18
"SP408",224.8035,3193.1886,13,0.3233,1.06
"SP409",224.8035,3193.2886,13,0.3101,1.38
"SP410",221.2035,3191.9886,28,0.4728,1.44
"SP411",220.7035,3192.1886,16,0.4776,1.12
"SP412",220.6035,3192.2886,15,0.4716,1.34
"SP413",220.2035,3192.6886,19,0.361,1.37
"SP414",220.1035,3192.4886,19,0.1613,1.89
"SP415",220.1035,3192.1886,19,0.2599,1.41
"SP416",219.9035,3192.7886,26,0.0783,1.27
"SP417",219.9035,3193.0886,22,0.0593,1.26
"SP418",220.6035,3193.1886,11,0.0313,1
"SP419",220.5035,3193.1886,10,0.0268,1
"SP420",210.3035,3187.7886,14,0.7071,1.18
"SP421",210.2035,3188.2886,8,0.6442,1.17
"SP422",210.3035,3189.3886,18,0.4936,1.07
"SP423",210.3035,3190.2886,19,0.3387,1.46
"SP424",210.7035,3190.5886,10,0.3234,1.07
"SP425",211.1035,3190.5886,24,0.3902,1.64
"SP426",211.2035,3192.3886,14,0.2146,1.56
"SP428",210.7035,3192.2886,7,0.098,1.36
"SP429",211.0035,3192.1886,12,0.1671,1.07
"SP430",212.9035,3192.0886,13,0.4998,1.06
"SP431",213.6035,3192.1886,25,0.6003,1.2
"SP432",213.6035,3192.2886,21,0.5539,1.11
"SP433",213.8035,3192.6886,12,0.5331,1.04
"SP434",213.5035,3192.7886,15,0.4988,1.05
"SP435",213.1035,3193.3886,11,0.3489,1.04
"SP436",213.8035,3193.6886,10,0.322,1.07
"SP437",213.9035,3193.8886,13,0.263,1.18
"SP438",213.9035,3193.7886,16,0.2843,1.13
"SP439",212.5035,3191.7886,14,0.5175,1.09
"SP440",212.9035,3191.5886,11,0.6317,1.06
"SP441",213.3035,3191.2886,6,0.7353,1.11
"SP442",215.1035,3191.4886,14,0.952,1.1
"SP443",215.3035,3190.8886,14,0.9319,1.01
"SP444",215.9035,3190.9886,13,0.9431,1.01
"SP445",215.6035,3191.6886,12,0.8798,1.12
"SP446",215.9035,3192.2886,16,0.8102,1.05
"SP447",216.3035,3192.6886,17,0.7545,1.1
"SP448",216.1035,3193.1886,18,0.6113,1.12
"SP449",215.9035,3193.4886,11,0.5396,1.14
"SP450",216.3035,3193.6886,15,0.4537,1.3
"SP451",216.3035,3194.0886,10,0.345,1.07
"SP452",216.8035,3194.1886,11,0.2537,1.08
"SP453",216.1035,3194.3886,9,0.3194,1.25
"SP454",215.9035,3194.5886,12,0.2712,1.27
"SP455",215.8035,3194.7886,12,0.2944,1.27
"SP456",215.8035,3195.0886,12,0.2084,1.14
"SP457",215.6035,3195.1886,8,0.1006,1.02
"SP458",215.5035,3195.1886,10,0.0782,1.31
"SP460",215.4035,3195.1886,15,0.0964,1.35
"SP461",220.1035,3189.7886,13,0.9771,1.08
"SP462",220.6035,3189.1886,13,1.0828,1.12
"SP463",220.8035,3189.0886,20,1.0975,1.2
"SP464",221.0035,3188.6886,17,1.0807,1.27
"SP465",221.3035,3188.8886,20,1.0313,1.49
"SP466",221.5035,3189.1886,18,0.996,1.44
"SP467",221.9035,3189.4886,15,1.0686,1.29
"SP468",222.5035,3189.8886,16,1.0118,1.18
"SP469",222.8035,3190.1886,13,0.9139,1.26
"SP470",223.2035,3190.2886,13,0.9056,1.24
"SV001",221.2035,3177.8886,15,1.271,1.16
"SV002",221.5035,3177.6886,21,1.2186,2.49
"SV003",221.6035,3177.5886,14,1.2414,2.08
"SV004",221.8035,3177.2886,5,1.1625,2.1
"SV005",222.0035,3176.8886,6,1.1345,1.27
"SV006",222.1035,3176.0886,5,1.0358,1.18
"SV007",222.3035,3175.6886,16,1.0113,1.17
"SV008",222.6035,3175.0886,11,0.9719,1.38
"SV009",222.9035,3174.4886,4,1.0316,1.15
"SV010",212.2035,3178.6886,17,0.7042,1.08
"SV011",213.1035,3178.4886,18,0.8712,1.13
"SV012",214.0035,3178.7886,8,1.106,1.05
"SV013",214.3035,3179.1886,14,1.1272,1.19
"SV014",214.1035,3180.3886,18,1.1928,1.3
"SV015",213.5035,3180.3886,9,1.1295,1.15
"SV016",213.2035,3180.4886,21,1.0656,1.27
"SV017",212.4035,3181.1886,9,1.0609,1.24
"SV018",212.4035,3181.4886,14,1.1404,1.4
"SV019",212.3035,3181.6886,16,1.071,1.26
"SV020",212.2035,3182.2886,8,1.2282,1.15
"SV021",212.8035,3182.6886,8,1.3768,1.08
"SV022",213.7035,3183.1886,17,1.5737,1.22
"SV023",214.3035,3183.8886,4,1.6906,1.12
"SV024",214.5035,3183.8886,7,1.7397,1.07
"SV025",215.1035,3183.6886,8,1.8924,1.11
"SV026",215.9035,3183.5886,3,2.0015,1.07
"SV027",216.1035,3183.5886,3,2.0613,1.03
"SV028",216.3035,3183.4886,1,2.1067,1.01
"SV029",215.4035,3183.6886,9,1.9408,1.16
"SV030",213.6035,3184.6886,4,1.4583,1.14
"SV031",213.3035,3185.0886,4,1.3812,1.14
"SV032",213.0035,3185.3886,10,1.2636,1.16
"SV033",213.1035,3186.5886,3,1.2107,1.06
"SV034",213.0035,3187.0886,11,1.1714,1.14
"SV035",211.0035,3186.7886,10,0.865,1.16
"SV037",210.6035,3181.4886,13,0.7309,1.12
"SV038",226.3035,3187.8886,17,0.6531,1.89
"SV039",226.1035,3187.3886,13,0.589,1.71
"SV040",225.8035,3187.3886,22,0.7252,1.55
"SV041",225.9035,3187.2886,15,0.7367,1.47
"SV042",225.4035,3186.9886,17,0.7845,1.28
"SV043",225.1035,3186.5886,11,0.8834,1.46
"SV044",224.8035,3186.2886,26,0.9966,1.46
"SV045",224.8035,3186.1886,25,1.0431,1.59
"SV046",224.6035,3186.0886,22,1.0245,1.33
"SV047",224.3035,3186.2886,32,1.2045,1.74
"SV048",224.1035,3186.0886,21,1.1741,1.87
"SV049",224.1035,3185.9886,24,1.2213,1.35
"SV050",223.5035,3185.5886,19,1.4013,1.49
"SV051",225.7035,3186.9886,19,0.7848,1.59
"SV052",215.5035,3176.5886,18,0.2063,1.03
"SV053",215.2035,3176.4886,16,0.2243,1.31
"SV054",215.1035,3176.2886,21,0.1938,1.13
"SV055",215.0035,3176.1886,28,0.182,1.11
"SV056",215.6035,3176.7886,16,0.2244,1.2
"SV057",215.9035,3177.2886,19,0.3508,1.37
"SV058",215.2035,3176.9886,17,0.4423,1.11
"SV059",215.3035,3177.4886,13,0.5092,1.22
"SV060",215.7035,3178.0886,17,0.6598,1.27
"SV061",216.3035,3178.2886,5,0.7186,1.12
"SV062",216.1035,3178.3886,7,0.7702,1.22
"SV063",215.9035,3178.6886,12,0.8961,1.13
"SV064",216.2035,3179.0886,16,0.9967,1.3
"SV065",216.6035,3179.4886,21,1.0282,1.31
"SV066",216.0035,3179.2886,24,1.1958,2.91
"SV067",215.5035,3176.3886,24,0.2475,1.22
"SV068",215.3035,3176.1886,24,0.26,1.2
"SV069",215.5035,3176.0886,25,0.3787,1.26
"SV070",214.8035,3175.4886,19,0.4602,1.27
"SV071",214.2035,3172.5886,11,0.2376,1.04
"SV072",214.8035,3172.5886,15,0.3275,1.11
"SV073",229.0035,3188.2886,16,0.3726,1.08
"SV074",228.9035,3187.7886,18,0.4191,1.1
"SV075",228.7035,3187.4886,17,0.5226,1.19
"SV076",228.3035,3187.6886,21,0.5579,1.23
"SV077",228.0035,3187.9886,13,0.607,1.05
"SV078",227.8035,3187.6886,15,0.664,1.17
"SV079",227.9035,3187.2886,15,0.6918,1.15
"SV080",227.6035,3187.1886,19,0.7234,1.2
"SV081",227.6035,3187.2886,16,0.7356,1.2
"SV082",227.2035,3187.2886,16,0.8358,1.14
"SV083",228.0035,3187.1886,15,0.7208,1.07
"SV084",227.7035,3186.9886,19,0.8243,1.21
"SV085",227.2035,3186.8886,15,0.9262,1.32
"SV086",227.2035,3186.7886,20,0.9291,1.06
"SV087",227.1035,3186.8886,20,0.9371,1.25
"SV088",226.8035,3186.8886,20,1.0035,1.17
"SV089",226.6035,3186.7886,15,1.0563,1.09
"SV090",226.1035,3186.5886,19,1.1589,1.2
"SV091",225.6035,3186.1886,20,1.3001,1.24
"SV092",225.7035,3185.7886,25,1.3206,1.25
"SV093",220.2035,3176.2886,4,1.2793,1.15
"SV094",219.6035,3176.2886,4,1.2975,1.22
"SV095",219.4035,3176.2886,8,1.2922,1.31
"SV096",219.1035,3176.2886,11,1.2425,1.47
"SV097",220.4035,3174.5886,7,0.9039,1.17
"SV098",220.4035,3174.8886,4,0.9616,1.05
"SV099",219.7035,3173.7886,6,0.822,1.01
"SV100",219.6035,3174.1886,7,0.8564,1.06
"SV101",219.6035,3174.7886,5,0.9495,1.06
"SV102",219.3035,3175.2886,19,0.9749,1.34
"SV103",221.0035,3156.5886,14,0.8199,1.06
"SV104",220.8035,3157.3886,10,0.8909,1.04
"SV105",220.4035,3158.5886,14,0.8876,1.04
"SV106",220.1035,3159.4886,22,0.8707,1.05
"SV107",219.6035,3160.1886,13,0.7837,1.11
"SV108",222.0035,3157.0886,5,1.0083,1.02
"SV109",221.5035,3157.7886,3,1.057,1.03
"SV110",221.0035,3158.1886,14,1.0896,1.14
"SV111",221.0035,3159.1886,9,1.1224,1.28
"SV112",221.1035,3160.0886,7,1.2594,1.05
"SV113",220.8035,3160.7886,3,1.1943,1.05
"SV114",220.9035,3161.7886,5,1.2033,1.1
"SV115",221.3035,3158.9886,3,1.2069,1.09
"SV116",221.6035,3159.5886,2,1.4043,1.04
"SV117",221.9035,3160.0886,5,1.4787,1.04
"SV118",222.1035,3160.2886,6,1.5692,1.12
"SV119",222.2035,3160.6886,5,1.5867,1.05
"SV120",222.2035,3160.9886,4,1.6614,1.12
"SV121",221.9035,3159.3886,3,1.3782,1.04
"SV122",222.1035,3159.0886,5,1.3182,1.13
"SV123",222.3035,3158.6886,4,1.2076,1
"SV124",222.5035,3157.9886,5,1.1828,1.17
"SV125",222.1035,3157.6886,2,1.0995,1.03
"SV126",222.1035,3157.9886,3,1.1718,1.03
"SV127",221.4035,3158.1886,12,1.1646,1.01
"SV128",221.3035,3158.3886,4,1.1666,1.02
"SV129",220.5035,3157.0886,16,0.7387,1.1
"SV130",219.8035,3159.1886,16,0.7891,1.21
"SV131",219.5035,3161.1886,16,0.7572,1.17
"SV132",219.0035,3162.9886,21,0.673,1.15
"SV134",225.3035,3173.1886,22,0.8119,1.27
"SV135",225.5035,3174.1886,26,0.7024,1.22
"SV136",231.7035,3185.0886,26,0.1798,1.21
"SV137",232.8035,3184.2886,17,0.1129,1.66
"SV140",219.2035,3171.3886,12,0.739,1.03
"SV141",219.9035,3171.0886,11,0.806,1.02
"SV142",220.2035,3170.8886,8,0.9252,1.12
"SV143",220.5035,3170.5886,6,0.9791,1.04
"SV144",220.5035,3170.3886,4,1.0112,1.05
"SV145",222.8035,3180.4886,6,2.0851,1.19
"SV146",222.8035,3180.2886,11,2.0992,1.11
"SV147",222.7035,3179.8886,15,1.9814,1.41
"SV148",222.4035,3179.7886,15,1.8702,2.23
"SV149",222.2035,3179.3886,17,1.8473,2.06
"SV150",222.2035,3178.9886,4,1.9941,1.63
"SV151",222.0035,3178.5886,10,2.045,1.24
"SV152",222.5035,3177.8886,4,1.9869,1.23
"SV153",222.9035,3177.2886,4,1.8871,1.1
"SV154",223.2035,3176.6886,3,1.8563,1.19
"SV155",223.3035,3176.2886,5,1.7481,1.22
"SV156",223.5035,3175.9886,10,1.6828,1.2
"SV157",223.6035,3175.1886,7,1.4942,1.32
"SV158",223.6035,3174.9886,7,1.4475,1.36
"SV159",223.7035,3175.0886,14,1.5118,1.28
"SV160",223.6035,3174.6886,7,1.395,1.27
"SV161",224.0035,3174.7886,12,1.2952,1.2
"SV162",224.1035,3174.7886,14,1.2739,1.32
"SV163",224.3035,3174.6886,16,1.1877,1.33
"SV164",224.1035,3174.8886,18,1.2973,1.52
"SV165",224.5035,3174.6886,17,1.1464,1.22
"SV166",224.7035,3174.5886,15,1.0267,1.27
"SV167",224.5035,3174.3886,16,1.043,1.33
"SV168",224.7035,3174.2886,14,1.0102,1.21
"SV169",224.6035,3173.9886,18,1.0012,1.32
"SV170",224.8035,3173.8886,12,0.9322,1.22
"SV171",217.9035,3184.5886,2,2.2718,1.07
"SV174",220.6035,3184.8886,7,2.2688,1.04
"SV175",221.0035,3185.3886,2,2.1891,1.13
"SV176",221.6035,3185.8886,1,2.0916,1.04
"SV177",221.6035,3186.1886,2,2.0381,1.23
"SV178",221.9035,3186.4886,5,1.931,1.13
"SV180",220.4035,3185.1886,3,2.2548,1.04
"SV182",220.5035,3185.4886,3,2.2,1.24
"SV183",220.3035,3185.8886,8,1.9533,1.37
"SV184",220.2035,3186.9886,4,1.7731,1.19
"SV185",220.2035,3187.4886,4,1.5891,1.22
"SV186",220.1035,3188.0886,6,1.3741,1.19
"SV187",219.8035,3188.2886,9,1.1869,1.24
"SV188",219.7035,3188.2886,22,1.1491,1.33
"SV189",219.1035,3188.9886,7,1.1153,1.14
"SV190",219.0035,3189.4886,16,1.0399,1.01
"SV191",216.9035,3182.3886,4,2.2731,1.38
"SV192",216.5035,3182.4886,1,2.1693,1.08
"SV193",215.7035,3182.4886,1,2.0665,1.04
"SV194",215.5035,3182.4886,5,2.0128,1.07
"SV195",215.8035,3182.2886,2,2.0575,1.04
"SV196",215.5035,3182.0886,9,1.9442,1.14
"SV197",214.9035,3182.3886,4,1.8951,1.19
"SV198",214.5035,3182.5886,4,1.7547,1.09
"SV199",214.0035,3182.2886,6,1.6541,1.17
"SV200",213.4035,3181.6886,5,1.4706,1.15
"SV201",213.1035,3181.1886,6,1.2439,1.23
"SV202",212.9035,3180.7886,6,1.1298,1.24
"SV203",212.7035,3180.5886,13,1.0545,1.16
"SV204",212.5035,3180.1886,7,0.9404,1.16
"SV205",212.3035,3179.8886,20,0.8282,1.15
"SV206",218.5035,3167.6886,14,0.6281,1.02
"SV207",218.5035,3172.5886,10,0.6534,1.02
"SV208",225.1035,3173.4886,12,0.9052,1.12
"SV209",224.3035,3172.4886,22,1.1874,1.57
